candidate_id,years_of_experience,profile_completeness_score,profile_views_received_30d,applications_submitted_30d,recruiter_response_rate,avg_response_time_hours,connection_count,endorsements_received,notice_period_days,github_activity_score,has_github_linked,search_appearance_30d,saved_by_recruiters_30d,interview_completion_rate,offer_acceptance_rate,has_offer_history,salary_min_lpa,salary_max_lpa,salary_mid_lpa,skill_assessment_mean,num_assessments_taken,open_to_work_flag,willing_to_relocate,verified_email,verified_phone,linkedin_connected,work_mode_remote,work_mode_hybrid,work_mode_onsite,work_mode_flexible
CAND_0000001,6.9,86.9,23.0,2.0,0.34,177.8,356.0,35.0,60.0,9.2,1,249.0,4.0,0.71,0.58,1,18.7,36.1,27.4,49.725,4,1,0,1,1,0,0,0,1,0
CAND_0000002,12.5,78.7,7.0,1.0,0.29,171.6,179.0,3.0,60.0,0.0,0,107.0,10.0,0.62,,0,8.8,9.0,8.9,,0,1,0,0,0,0,0,0,0,1
CAND_0000003,1.1,31.9,1.0,9.0,0.46,119.4,19.0,46.0,150.0,0.0,0,28.0,4.0,0.86,,0,11.2,18.1,14.65,,0,0,0,1,0,0,0,1,0,0
CAND_0000004,3.8,28.5,3.0,9.0,0.26,104.1,485.0,22.0,120.0,0.0,0,5.0,8.0,0.35,,0,4.6,6.7,5.65,,0,0,1,1,1,1,0,0,1,0
CAND_0000005,11.0,84.6,12.0,2.0,0.37,116.7,300.0,14.0,30.0,0.0,0,67.0,1.0,0.74,,0,12.4,19.7,16.05,,0,1,1,0,1,1,0,1,0,0
CAND_0000006,6.0,29.7,53.0,8.0,0.12,172.1,389.0,29.0,150.0,0.0,0,131.0,9.0,0.57,,0,7.7,11.7,9.7,,0,0,1,1,1,0,1,0,0,0
CAND_0000007,5.5,74.6,2.0,1.0,0.62,61.3,122.0,50.0,30.0,0.0,0,104.0,8.0,0.47,,0,6.7,14.6,10.65,,0,0,1,1,1,1,0,0,1,0
CAND_0000008,3.6,63.0,28.0,5.0,0.42,98.4,285.0,7.0,90.0,0.0,0,91.0,0.0,0.74,,0,6.6,17.2,11.899999999999999,,0,0,0,1,0,0,0,0,1,0
CAND_0000009,11.0,39.6,50.0,8.0,0.53,202.0,516.0,34.0,150.0,0.0,0,74.0,1.0,0.54,0.48,1,16.0,7.3,11.65,,0,0,0,1,1,0,1,0,0,0
CAND_0000010,4.6,81.6,60.0,13.0,0.4,19.0,712.0,38.0,120.0,33.7,1,256.0,2.0,0.53,,0,13.0,32.0,22.5,68.475,4,0,0,1,1,0,0,1,0,0
CAND_0000011,2.0,59.2,112.0,0.0,0.56,184.4,496.0,9.0,90.0,32.3,1,200.0,13.0,0.45,,0,15.5,13.9,14.7,29.8,1,0,0,1,1,1,0,0,0,1
