candidate_id,clean_text
CAND_0000001,Backend Engineer SQL Spark Cloud Software data professional with 6 9 years of experience building data pipelines backend systems and analytics infrastructure I m a backend data hybrid Spark Airflow SQL warehouses are home territory I m building competence on the ML side My toolkit is solid on the data engineering side Python SQL Spark Airflow warehouse design and I ve completed a couple of self directed ML projects Kaggle competitions side projects fine tuning small models Interested in transitioning toward more AI ML focused work ideally at a company where I can leverage my existing data infra skills while learning modern ML practice Implemented streaming data pipelines on Kafka and Spark Streaming for a real time user activity processing platform Designed the schema registry integration the watermark state management approach and the deduplication logic for late arriving events Worked closely with the data science team to make sure feature pipelines aligned with what their models needed Most of my career has been data engineering with some adjacent ML exposure Built and maintained data pipelines on Apache Airflow processing 500GB of daily transactional data across 12 source systems Worked extensively with Spark PySpark for batch processing and dbt for the transformation modeling layer in our Snowflake warehouse Owned the on call rotation for data quality issues wrote most of the data quality checks that detect schema drift and unusual volume changes The pipeline supports the analytics team and a few internal ML models
CAND_0000002,Operations Manager 12 5 yrs experience Professional with 12 5 years of experience My professional background is in marketing manager I ve built and led teams owned KPIs and driven business outcomes in this domain Lately I ve been curious about how AI tools could augment my work I ve experimented with ChatGPT and a few other tools for productivity and content creation and I think the space is exciting Open to roles where I can apply my domain expertise alongside emerging AI capabilities Customer support team lead at a SaaS product Managed a team of 8 support agents handling tier 1 and tier 2 tickets owned the escalation process to engineering and the customer feedback loop to product Built out the support knowledge base and the agent training program Strong on the people management side and the process side lighter on technical depth beyond product expertise Mechanical engineering design role at a hardware product company Led the design of two product subsystems through full lifecycle concept DFM DFMA review prototype production tooling Comfortable with CAD SolidWorks Creo FEA ANSYS and the typical hardware development cadence Worked closely with manufacturing partners on production scale up Content writing and SEO strategy for a tech focused publication Wrote longform articles on developer tools cloud platforms and AI ML topics including some that ranked on the first page of search for high competition keywords Managed a freelance writer pool and the editorial calendar Recent work has been on AI assisted content production using LLM tools for research drafting and editing while maintaining editorial quality Brand design and creative direction at a consumer products company Owned brand identity logo visual system typography packaging design and digital creative across web and social Led the recent rebrand and managed a small external agency for production work Comfortable across the Adobe suite Figma and the production side of brand and packaging design
CAND_0000003,Customer Support 1 1 yrs experience Professional with 1 1 years of experience I ve spent my career in marketing manager roles mostly focused on driving outcomes through process people and customer relationships Lately I ve been curious about how AI tools could augment my work I ve experimented with ChatGPT and a few other tools for productivity and content creation and I think the space is exciting Open to roles where I can apply my domain expertise alongside emerging AI capabilities Business analyst at a consulting firm working primarily with retail and CPG clients Conducted business diagnostics process re engineering work and digital transformation strategy projects Strong on stakeholder management structured problem solving and the typical consulting toolkit slide craft Excel modeling executive communication Recent project work involved AI strategy advisory but my own technical depth in AI is limited
CAND_0000004,Marketing Manager Driving business outcomes Professional with 3 8 years of experience My professional background is in marketing manager I ve built and led teams owned KPIs and driven business outcomes in this domain Lately I ve been curious about how AI tools could augment my work I ve experimented with ChatGPT and a few other tools for productivity and content creation and I think the space is exciting Open to roles where I can apply my domain expertise alongside emerging AI capabilities Mechanical engineering design role at a hardware product company Led the design of two product subsystems through full lifecycle concept DFM DFMA review prototype production tooling Comfortable with CAD SolidWorks Creo FEA ANSYS and the typical hardware development cadence Worked closely with manufacturing partners on production scale up Content writing and SEO strategy for a tech focused publication Wrote longform articles on developer tools cloud platforms and AI ML topics including some that ranked on the first page of search for high competition keywords Managed a freelance writer pool and the editorial calendar Recent work has been on AI assisted content production using LLM tools for research drafting and editing while maintaining editorial quality Operations management role at a logistics company Owned daily fulfillment operations across 3 warehouses managing a team of 80 across receiving picking packing and outbound Built and tracked the operational KPIs on time fulfillment accuracy cost per order and led the continuous improvement initiatives that drove a 22 productivity gain over 18 months
CAND_0000005,Accountant Helping teams scale Professional with 11 0 years of experience I ve spent my career in marketing manager roles mostly focused on driving outcomes through process people and customer relationships Lately I ve been curious about how AI tools could augment my work I ve experimented with ChatGPT and a few other tools for productivity and content creation and I think the space is exciting Open to roles where I can apply my domain expertise alongside emerging AI capabilities Business analyst at a consulting firm working primarily with retail and CPG clients Conducted business diagnostics process re engineering work and digital transformation strategy projects Strong on stakeholder management structured problem solving and the typical consulting toolkit slide craft Excel modeling executive communication Recent project work involved AI strategy advisory but my own technical depth in AI is limited Senior accounting role at a mid sized company month end close financial reporting statutory compliance GAAP Ind AS and tax filings Owned the GL fixed asset register and the audit readiness function Managed a team of 3 staff accountants Built strong process discipline around the close cycle reducing close time from 12 days to 7 over the last two years Business analyst at a consulting firm working primarily with retail and CPG clients Conducted business diagnostics process re engineering work and digital transformation strategy projects Strong on stakeholder management structured problem solving and the typical consulting toolkit slide craft Excel modeling executive communication Recent project work involved AI strategy advisory but my own technical depth in AI is limited Customer support team lead at a SaaS product Managed a team of 8 support agents handling tier 1 and tier 2 tickets owned the escalation process to engineering and the customer feedback loop to product Built out the support knowledge base and the agent training program Strong on the people management side and the process side lighter on technical depth beyond product expertise
CAND_0000006,Business Analyst 6 0 yrs experience Professional with 6 0 years of experience I ve spent my career in marketing manager roles mostly focused on driving outcomes through process people and customer relationships Lately I ve been curious about how AI tools could augment my work I ve experimented with ChatGPT and a few other tools for productivity and content creation and I think the space is exciting Open to roles where I can apply my domain expertise alongside emerging AI capabilities Senior accounting role at a mid sized company month end close financial reporting statutory compliance GAAP Ind AS and tax filings Owned the GL fixed asset register and the audit readiness function Managed a team of 3 staff accountants Built strong process discipline around the close cycle reducing close time from 12 days to 7 over the last two years Business analyst at a consulting firm working primarily with retail and CPG clients Conducted business diagnostics process re engineering work and digital transformation strategy projects Strong on stakeholder management structured problem solving and the typical consulting toolkit slide craft Excel modeling executive communication Recent project work involved AI strategy advisory but my own technical depth in AI is limited
CAND_0000007,Civil Engineer 5 5 yrs experience Professional with 5 5 years of experience My professional background is in marketing manager I ve built and led teams owned KPIs and driven business outcomes in this domain Lately I ve been curious about how AI tools could augment my work I ve experimented with ChatGPT and a few other tools for productivity and content creation and I think the space is exciting Open to roles where I can apply my domain expertise alongside emerging AI capabilities Brand design and creative direction at a consumer products company Owned brand identity logo visual system typography packaging design and digital creative across web and social Led the recent rebrand and managed a small external agency for production work Comfortable across the Adobe suite Figma and the production side of brand and packaging design Customer support team lead at a SaaS product Managed a team of 8 support agents handling tier 1 and tier 2 tickets owned the escalation process to engineering and the customer feedback loop to product Built out the support knowledge base and the agent training program Strong on the people management side and the process side lighter on technical depth beyond product expertise
CAND_0000008,Operations Manager 3 6 yrs experience Professional with 3 6 years of experience I ve spent my career in marketing manager roles mostly focused on driving outcomes through process people and customer relationships Lately I ve been curious about how AI tools could augment my work I ve experimented with ChatGPT and a few other tools for productivity and content creation and I think the space is exciting Open to roles where I can apply my domain expertise alongside emerging AI capabilities Marketing leadership role at a B2B SaaS company Owned the demand generation function content marketing paid acquisition SEO email nurture Built and managed a team of 5 across content performance marketing and marketing operations Worked closely with sales on lead quality definitions and the SDR handoff process Recent focus has been on account based marketing for our enterprise segment
CAND_0000009,Mechanical Engineer Driving business outcomes Professional with 11 0 years of experience My professional background is in marketing manager I ve built and led teams owned KPIs and driven business outcomes in this domain Lately I ve been curious about how AI tools could augment my work I ve experimented with ChatGPT and a few other tools for productivity and content creation and I think the space is exciting Open to roles where I can apply my domain expertise alongside emerging AI capabilities Business analyst at a consulting firm working primarily with retail and CPG clients Conducted business diagnostics process re engineering work and digital transformation strategy projects Strong on stakeholder management structured problem solving and the typical consulting toolkit slide craft Excel modeling executive communication Recent project work involved AI strategy advisory but my own technical depth in AI is limited Marketing leadership role at a B2B SaaS company Owned the demand generation function content marketing paid acquisition SEO email nurture Built and managed a team of 5 across content performance marketing and marketing operations Worked closely with sales on lead quality definitions and the SDR handoff process Recent focus has been on account based marketing for our enterprise segment Mechanical engineering design role at a hardware product company Led the design of two product subsystems through full lifecycle concept DFM DFMA review prototype production tooling Comfortable with CAD SolidWorks Creo FEA ANSYS and the typical hardware development cadence Worked closely with manufacturing partners on production scale up Enterprise sales of cloud software solutions into the mid market segment Carried a 1 8M ARR quota and consistently delivered against it across the last three years Owned the full sales cycle prospecting discovery technical evaluation with SE support commercial negotiation and close Strong on consultative selling for technical buyers comfortable engaging with both engineering and finance stakeholders
CAND_0000010,Data Engineer Data pipelines analytics Software data professional with 4 6 years of experience building data pipelines backend systems and analytics infrastructure Most of my work has been data pipelines and analytics infrastructure I ve shipped a couple of small ML features but it s not the core of my day My toolkit is solid on the data engineering side Python SQL Spark Airflow warehouse design and I ve completed a couple of self directed ML projects Kaggle competitions side projects fine tuning small models Interested in transitioning toward more AI ML focused work ideally at a company where I can leverage my existing data infra skills while learning modern ML practice Mixed data science and analytics engineering role at a marketing analytics startup Spent maybe 30 of my time on lightweight ML clustering classification churn prediction in sklearn XGBoost and 70 on data infrastructure and dashboards Comfortable with the modeling work but I wouldn t call myself an ML specialist Built our experimentation framework that supports the product team s A B tests
